repo_id,owner,name,full_name,language,created_at,updated_at,stars,forks,open_issues,archived,age_days,html_url,star_band
2211243,apache,kafka,apache/kafka,Java,2011-08-15T18:06:16Z,2026-09-05T16:04:44Z,33671,15480,540,False,5499,https://github.com/apache/kafka,10K-50K
137451403,alibaba,nacos,alibaba/nacos,Java,2018-06-15T06:49:27Z,2026-09-05T15:06:37Z,33347,13290,190,False,3004,https://github.com/alibaba/nacos,10K-50K
283211901,yuliskov,SmartTube,yuliskov/SmartTube,Java,2020-07-28T12:53:52Z,2026-09-05T16:04:55Z,32617,1997,685,False,2230,https://github.com/yuliskov/SmartTube,10K-50K
18723836,chinabugotech,hutool,chinabugotech/hutool,Java,2014-04-13T07:23:51Z,2026-09-05T15:03:14Z,30268,7576,6,False,4528,https://github.com/chinabugotech/hutool,10K-50K
48446680,googlesamples,easypermissions,googlesamples/easypermissions,Java,2015-12-22T18:05:53Z,2026-09-03T06:24:14Z,9855,1460,40,True,3909,https://github.com/googlesamples/easypermissions,1K-10K
10981994,OpenFeign,feign,OpenFeign/feign,Java,2013-06-26T23:28:16Z,2026-09-04T16:41:59Z,9799,1950,214,False,4818,https://github.com/OpenFeign/feign,1K-10K
19777812,seven332,EhViewer,seven332/EhViewer,Java,2014-05-14T12:03:52Z,2026-09-05T10:57:03Z,9798,935,198,True,4497,https://github.com/seven332/EhViewer,1K-10K
7905539,koral--,android-gif-drawable,koral--/android-gif-drawable,Java,2013-01-30T01:37:46Z,2026-09-05T16:46:38Z,9647,1788,33,False,4966,https://github.com/koral--/android-gif-drawable,1K-10K
1705960,perwendel,spark,perwendel/spark,Java,2011-05-05T11:52:05Z,2026-09-04T05:57:40Z,9640,1567,262,False,5602,https://github.com/perwendel/spark,1K-10K
33218414,react-native-camera,react-native-camera,react-native-camera/react-native-camera,Java,2015-04-01T00:54:40Z,2026-09-01T13:49:44Z,9630,3503,141,True,4175,https://github.com/react-native-camera/react-native-camera,1K-10K
26363421,ksoichiro,Android-ObservableScrollView,ksoichiro/Android-ObservableScrollView,Java,2014-11-08T14:45:20Z,2026-09-03T14:26:50Z,9608,2037,177,False,4319,https://github.com/ksoichiro/Android-ObservableScrollView,1K-10K
688352,apache,jmeter,apache/jmeter,Java,2010-05-26T23:38:07Z,2026-09-04T01:59:22Z,9527,2289,978,False,5945,https://github.com/apache/jmeter,1K-10K
27519800,MyCATApache,Mycat-Server,MyCATApache/Mycat-Server,Java,2014-12-04T02:46:54Z,2026-09-03T06:29:12Z,9516,3806,950,False,4293,https://github.com/MyCATApache/Mycat-Server,1K-10K
70780002,flowable,flowable-engine,flowable/flowable-engine,Java,2016-10-13T07:21:43Z,2026-09-03T19:30:05Z,9516,2885,408,False,3614,https://github.com/flowable/flowable-engine,1K-10K
